RACE_HISP,SEX,YEAR,births
0,0,2014,3969976
0,0,2015,3998730
0,0,2016,4026991
0,0,2017,4054590
0,0,2018,4080454
0,0,2019,4104391
0,0,2020,4125307
0,0,2021,4142003
0,0,2022,4154928
0,0,2023,4165241
0,0,2024,4173885
0,0,2025,4181208
0,0,2026,4187178
0,0,2027,4191413
0,0,2028,4194135
0,0,2029,4196175
0,0,2030,4198020
0,0,2031,4199971
0,0,2032,4202687
0,0,2033,4206587
0,0,2034,4211929
0,0,2035,4218713
0,0,2036,4226595
0,0,2037,4235324
0,0,2038,4244776
0,0,2039,4255017
0,0,2040,4266000
0,0,2041,4277676
0,0,2042,4290171
0,0,2043,4303391
0,0,2044,4317274
0,0,2045,4331771
0,0,2046,4346651
0,0,2047,4361702
0,0,2048,4376701
0,0,2049,4391465
0,0,2050,4405894
0,0,2051,4419882
0,0,2052,4433292
0,0,2053,4446041
0,0,2054,4458114
0,0,2055,4469519
0,0,2056,4480293
0,0,2057,4490508
0,0,2058,4500267
0,0,2059,4509700
0,0,2060,4518941
0,1,2014,2031663
0,1,2015,2046359
0,1,2016,2060804
0,1,2017,2074905
0,1,2018,2088124
0,1,2019,2100350
0,1,2020,2111035
0,1,2021,2119552
0,1,2022,2126157
0,1,2023,2131413
0,1,2024,2135813
0,1,2025,2139547
0,1,2026,2142578
0,1,2027,2144725
0,1,2028,2146098
0,1,2029,2147127
0,1,2030,2148055
0,1,2031,2149039
0,1,2032,2150413
0,1,2033,2152392
0,1,2034,2155113
0,1,2035,2158569
0,1,2036,2162591
0,1,2037,2167047
0,1,2038,2171871
0,1,2039,2177098
0,1,2040,2182709
0,1,2041,2188669
0,1,2042,2195053
0,1,2043,2201808
0,1,2044,2208902
0,1,2045,2216314
0,1,2046,2223912
0,1,2047,2231601
0,1,2048,2239267
0,1,2049,2246807
0,1,2050,2254176
0,1,2051,2261321
0,1,2052,2268169
0,1,2053,2274674
0,1,2054,2280834
0,1,2055,2286656
0,1,2056,2292148
0,1,2057,2297357
0,1,2058,2302331
0,1,2059,2307139
0,1,2060,2311851
0,2,2014,1938313
0,2,2015,1952371
0,2,2016,1966187
0,2,2017,1979685
0,2,2018,1992330
0,2,2019,2004041
0,2,2020,2014272
0,2,2021,2022451
0,2,2022,2028771
0,2,2023,2033828
0,2,2024,2038072
0,2,2025,2041661
0,2,2026,2044600
0,2,2027,2046688
0,2,2028,2048037
0,2,2029,2049048
0,2,2030,2049965
0,2,2031,2050932
0,2,2032,2052274
0,2,2033,2054195
0,2,2034,2056816
0,2,2035,2060144
0,2,2036,2064004
0,2,2037,2068277
0,2,2038,2072905
0,2,2039,2077919
0,2,2040,2083291
0,2,2041,2089007
0,2,2042,2095118
0,2,2043,2101583
0,2,2044,2108372
0,2,2045,2115457
0,2,2046,2122739
0,2,2047,2130101
0,2,2048,2137434
0,2,2049,2144658
0,2,2050,2151718
0,2,2051,2158561
0,2,2052,2165123
0,2,2053,2171367
0,2,2054,2177280
0,2,2055,2182863
0,2,2056,2188145
0,2,2057,2193151
0,2,2058,2197936
0,2,2059,2202561
0,2,2060,2207090
1,0,2014,2855853
1,0,2015,2866920
1,0,2016,2877618
1,0,2017,2887717
1,0,2018,2896530
1,0,2019,2903974
1,0,2020,2909378
1,0,2021,2911898
1,0,2022,2911956
1,0,2023,2910337
1,0,2024,2907651
1,0,2025,2904151
1,0,2026,2899764
1,0,2027,2894250
1,0,2028,2887821
1,0,2029,2881101
1,0,2030,2874383
1,0,2031,2867758
1,0,2032,2861549
1,0,2033,2856018
1,0,2034,2851268
1,0,2035,2847209
