RACE_HISP,SEX,YEAR,total_deaths,DTH_0,DTH_1,DTH_2,DTH_3,DTH_4,DTH_5,DTH_6,DTH_7,DTH_8,DTH_9,DTH_10,DTH_11,DTH_12,DTH_13,DTH_14,DTH_15,DTH_16,DTH_17,DTH_18,DTH_19,DTH_20,DTH_21,DTH_22,DTH_23,DTH_24,DTH_25,DTH_26,DTH_27,DTH_28,DTH_29,DTH_30,DTH_31,DTH_32,DTH_33,DTH_34,DTH_35,DTH_36,DTH_37,DTH_38,DTH_39,DTH_40,DTH_41,DTH_42,DTH_43,DTH_44,DTH_45,DTH_46,DTH_47,DTH_48,DTH_49,DTH_50,DTH_51,DTH_52,DTH_53,DTH_54,DTH_55,DTH_56,DTH_57,DTH_58,DTH_59,DTH_60,DTH_61,DTH_62,DTH_63,DTH_64,DTH_65,DTH_66,DTH_67,DTH_68,DTH_69,DTH_70,DTH_71,DTH_72,DTH_73,DTH_74,DTH_75,DTH_76,DTH_77,DTH_78,DTH_79,DTH_80,DTH_81,DTH_82,DTH_83,DTH_84,DTH_85
0,0,2014,2582858,23465,1556,903,780,661,566,492,423,382,380,399,447,554,708,924,1192,1480,1857,2238,2660,3043,3404,3707,3940,4021,3987,4009,4110,4230,4286,4331,4493,4611,4822,4904,4913,5043,5218,5531,5922,6277,6997,7977,8991,9665,10191,11135,12384,14154,16154,17810,19404,21220,23290,24902,26349,28119,29519,30964,32352,33221,34259,35530,37228,39128,41483,45663,43893,40263,42996,46762,48230,46902,47669,49306,51372,53110,54900,57930,59412,61259,65075,68894,73255,75891,840781
0,0,2015,2619062,23467,1537,886,766,649,553,475,424,383,379,397,447,534,688,911,1189,1462,1832,2165,2550,2950,3300,3611,3862,4045,4068,4054,4071,4122,4268,4319,4395,4573,4708,4912,5023,5048,5235,5434,5800,6213,6635,7414,8512,9677,10391,11010,11996,13315,15212,17297,19005,20643,22483,24647,26313,27737,29553,30978,32456,33848,34817,35928,37344,39256,41346,43945,48407,46526,42700,45569,49583,51129,49761,50582,52328,54502,56282,58081,61152,62622,64236,68186,71945,76051,861957
0,0,2016,2649979,23433,1536,890,762,646,543,471,414,383,379,396,425,519,664,877,1170,1444,1796,2123,2480,2828,3174,3470,3723,3942,4095,4121,4098,4088,4175,4307,4366,4446,4635,4776,5015,5157,5205,5431,5679,6087,6549,7016,7901,9119,10358,11164,11831,12864,14276,16250,18372,20161,21836,23767,25959,27644,29113,30946,32398,33881,35393,36446,37718,39332,41403,43725,46508,51232,49285,45229,48278,52518,54211,52766,53651,55481,57722,59509,61282,64461,65641,67271,71169,74654,879520
0,0,2017,2680555,23394,1529,893,765,629,537,472,407,376,379,401,421,518,657,860,1114,1424,1778,2083,2420,2734,3039,3341,3597,3817,3989,4133,4166,4113,4139,4196,4330,4412,4511,4719,4881,5155,5337,5402,5681,5968,6409,6934,7491,8485,9788,11144,12017,12702,13790,15249,17295,19514,21324,23069,25071,27298,29013,30478,32382,33841,35450,37064,38279,39743,41522,43833,46326,49276,54297,52223,47953,51179,55720,57526,56006,56912,58797,61088,62855,64678,67601,68769,70234,73880,893333
0,0,2018,2711731,23332,1536,881,767,632,525,459,407,371,371,400,423,518,654,848,1092,1376,1741,2061,2377,2667,2955,3202,3464,3680,3852,4041,4179,4196,4163,4157,4247,4385,4481,4590,4830,5008,5324,5529,5659,5957,6287,6794,7399,8047,9098,10529,11995,12892,13618,14745,16225,18351,20670,22557,24346,26375,28674,30423,31907,33852,35429,37151,38979,40388,42006,44019,46489,49118,52255,57587,55420,50875,54339,59166,61088,59444,60351,62257,64542,66417,67867,70864,71849,72942,904768
0,0,2019,2743450,23262,1525,870,740,630,525,444,410,374,367,375,424,507,645,840,1089,1325,1680,2011,2345,2619,2877,3087,3323,3543,3707,3875,4090,4209,4213,4197,4194,4292,4447,4566,4699,4941,5194,5524,5791,5946,6286,6643,7256,7940,8635,9795,11335,12873,13810,14548,15708,17247,19445,21870,23836,25641,27722,30079,31841,33370,35444,37130,39094,41133,42725,44557,46712,49331,52125,55439,61121,58815,54035,57723,62871,64873,63102,63953,65823,68295,69728,71180,74065,74649,913925
0,0,2020,2776767,23189,1522,878,737,634,522,445,394,360,356,359,417,505,635,819,1073,1313,1630,1948,2290,2595,2818,3034,3199,3401,3570,3735,3922,4095,4239,4249,4217,4240,4353,4528,4654,4826,5119,5385,5794,6077,6259,6654,7113,7801,8522,9307,10558,12166,13806,14761,15504,16679,18287,20619,23122,25118,26974,29101,31498,33305,34949,37191,39100,41284,43564,45342,47343,49601,52379,55336,58913,64923,62525,57452,61373,66819,68905,66906,67682,69738,71750,73171,74435,77004,923852
0,0,2021,2811467,23064,1512,882,745,622,523,441,382,345,344,357,409,498,642,823,1058,1294,1600,1870,2206,2543,2794,2969,3127,3289,3436,3602,3785,3941,4135,4257,4299,4273,4301,4418,4631,4775,5005,5311,5653,6082,6417,6643,7111,7640,8373,9181,10034,11332,13059,14750,15743,16473,17687,19373,21807,24383,26447,28302,30462,32940,34900,36681,39178,41325,43740,46262,48174,50297,52709,55648,58818,62598,69045,66496,61119,65264,70994,73119,70840,71785,73300,75325,76559,77411,935480
0,0,2022,2847933,22910,1500,873,750,625,529,449,384,344,338,356,408,471,616,810,1047,1269,1582,1858,2130,2418,2727,2928,3051,3203,3312,3459,3654,3797,3988,4165,4292,4344,4339,4382,4547,4741,4962,5182,5587,5931,6397,6783,7090,7636,8199,9023,9895,10772,12147,13946,15713,16724,17490,18757,20526,23008,25670,27731,29676,31883,34533,36645,38669,41439,43828,46486,49191,51242,53482,56050,59191,62553,66606,73467,70787,65046,69404,75396,77476,75238,75495,76992,78856,79680,946857
0,0,2023,2886636,22763,1498,872,739,623,517,451,389,343,339,354,405,461,589,780,1030,1271,1552,1812,2111,2356,2620,2864,3012,3122,3235,3346,3484,3662,3832,4030,4197,4363,4406,4407,4504,4661,4925,5153,5430,5868,6247,6781,7262,7619,8215,8848,9724,10632,11555,12996,14865,16721,17759,18541,19887,21664,24231,26965,29068,31057,33447,36298,38674,40951,43989,46615,49472,52333,54542,56930,59670,63007,66597,70923,78252,75371,69211,73760,79949,82384,79171,79335,80631,82097,960014
0,0,2024,2927486,22580,1480,876,739,628,521,455,390,347,343,355,381,462,582,746,992,1249,1535,1797,2070,2311,2545,2760,2957,3094,3172,3253,3367,3497,3686,3881,4052,4270,4412,4479,4514,4614,4817,5120,5394,5692,6147,6617,7257,7799,8198,8867,9536,10447,11426,12367,13850,15842,17749,18840,19671,21016,22846,25476,28291,30451,32582,35173,38323,40982,43492,46793,49652,52685,55754,58073,60644,63560,67133,70959,75573,83366,80257,73606,78263,85125,86744,83262,83144,84000,975233
0,0,2025,2970879,22384,1485,870,741,626,516,452,386,345,338,356,376,458,585,747,958,1202,1490,1752,2027,2264,2502,2660,2840,3033,3120,3180,3287,3382,3549,3727,3923,4104,4327,4503,4616,4660,4779,5016,5380,5657,6007,6540,7083,7809,8389,8842,9553,10257,11222,12243,13190,14766,16821,18861,20009,20794,22167,24023,26727,29625,31964,34280,37173,40650,43562,46334,49900,52906,56152,59418,61921,64648,67776,71551,75654,80559,88820,85418,78174,83430,89682,91259,87306,86669,992142
0,0,2026,3016238,22201,1470,857,738,612,515,449,384,344,340,354,379,455,578,735,946,1158,1446,1733,1993,2227,2458,2620,2736,2901,3061,3120,3216,3319,3432,3574,3759,3960,4162,4404,4632,4720,4815,4966,5269,5638,5957,6381,7001,7624,8399,9059,9524,10258,11007,12003,13036,14043,15685,17882,20015,21167,21940,23303,25217,28005,31102,33655,36270,39456,43251,46421,49425,53197,56427,59888,63374,66047,68970,72271,76324,80692,85872,94550,90764,83426,87933,94397,95723,91045,1011576
0,0,2027,3064452,21988,1463,856,729,607,522,437,392,345,341,357,371,450,562,716,938,1134,1396,1664,1958,2192,2394,2568,2688,2801,2941,3049,3178,3234,3343,3457,3621,3812,4021,4255,4516,4763,4900,5003,5231,5521,5943,6320,6829,7537,8205,9064,9766,10239,11019,11780,12804,13915,14930,16692,18992,21193,22324,23084,24466,26426,29416,32753,35629,38515,42003,46149,49557,52759,56787,60230,63912,67630,70513,73613,77163,81456,86050,91496,100531,96973,87988,92604,99079,99901,1035503
0,0,2028,3115134,21766,1438,860,731,606,529,437,398,347,342,359,375,437,550,705,904,1102,1370,1600,1877,2155,2352,2506,2641,2769,2832,2914,3100,3189,3269,3383,3501,3665,3870,4108,4351,4631,4920,5095,5276,5482,5811,6303,6784,7337,8109,8854,9787,10479,10993,11813,12569,13661,14780,15897,17767,20111,22380,23514,24238,25658,27774,31012,34701,37868,41054,44849,49315,52934,56341,60647,64331,68259,72268,75305,78621,82387,86953,91745,97330,107559,102332,92709,97237,103445,1068571
0,0,2029,3168287,21559,1429,857,730,603,512,436,394,349,342,361,379,429,555,688,890,1089,1343,1567,1821,2071,2319,2465,2583,2715,2797,2826,2967,3110,3216,3304,3415,3561,3711,3950,4202,4479,4783,5121,5353,5519,5775,6172,6762,7315,7918,8760,9561,10503,11286,11771,12588,13422,14532,15751,16918,18821,21270,23548,24698,25420,26971,29294,32884,36934,40424,43882,47981,52716,56579,60210,64861,68753,72971,77203,80490,84026,88017,92768,97698,104277,113544,107870,97397,101583,1105363
0,0,2030,3223664,21325,1423,845,717,601,494,442,396,349,345,360,380,433,534,689,895,1070,1312,1543,1770,2002,2236,2430,2542,2653,2749,2776,2893,2994,3165,3258,3339,3473,3597,3797,4065,4317,4637,5004,5388,5624,5802,6119,6632,7276,7876,8560,9466,10268,11288,12076,12562,13434,14273,15490,16779,17962,19888,22400,24750,25911,26755,28477,31088,35026,39439,43208,46967,51343,56378,60534,64444,69364,73574,78036,82565,86063,89822,93984,98832,104770,110113,119750,113393,101813,1140252
0,0,2031,3280615,21113,1418,828,695,598,492,439,395,349,346,361,379,427,537,681,874,1046,1277,1493,1746,1964,2156,2333,2499,2621,2677,2735,2839,2893,3031,3201,3295,3401,3528,3677,3896,4176,4472,4834,5255,5663,5911,6166,6582,7143,7837,8482,9238,10160,11036,12098,12873,13402,14302,15228,16490,17793,18978,20960,23527,25956,27277,28251,30247,33152,37413,42207,46310,50291,54979,60356,64818,68974,74247,78707,83491,88334,92057,95968,100213,106131,110688,116191,125938,118596,1174977
0,0,2032,3339052,20880,1393,821,701,583,488,422,392,348,348,348,363,435,542,679,868,1031,1264,1460,1687,1905,2111,2240,2411,2569,2640,2681,2781,2843,2934,3066,3231,3348,3447,3586,3776,4017,4337,4667,5103,5529,5931,6282,6619,7097,7688,8474,9178,9918,10903,11831,12903,13739,14289,15256,16225,17528,18840,20019,22025,24687,27322,28815,30016,32268,35437,40086,45259,49629,53896,58909,64684,69402,73885,79477,84265,89387,94547,98420,102407,107743,112202,116840,122251,131765,1226433
0,0,2033,3398679,20678,1386,819,696,583,488,425,395,347,346,346,352,416,542,668,853,1017,1249,1449,1662,1857,2060,2209,2315,2474,2596,2615,2709,2787,2872,2972,3092,3286,3394,3523,3707,3888,4179,4519,4931,5345,5817,6310,6737,7132,7631,8311,9138,9862,10653,11704,12619,13777,14630,15245,16276,17234,18554,19865,21040,23127,26010,28901,30646,32056,34552,38005,43015,48538,53208,57784,63175,69343,74410,79160,85149,90272,95742,101159,105103,110254,113965,118494,123005,127979,1291045
0,0,2034,3459022,20468,1362,821,698,578,492,426,395,347,346,345,351,417,520,647,858,1022,1221,1419,1630,1823,2020,2143,2279,2395,2505,2568,2674,2745,2832,2927,3019,3162,3346,3472,3631,3817,4036,4339,4778,5171,5606,6171,6776,7270,7689,8252,8994,9844,10594,11428,12471,13484,14681,15632,16261,17302,18266,19565,20895,22092,24366,27510,30754,32744,34348,37089,40842,46170,52109,57104,62047,67788,74400,79766,84839,91276,96747,102493,108092,113299,116693,120443,124792,128832,1351161
0,0,2035,3519762,20275,1358,810,694,579,487,425,393,350,342,345,349,414,509,649,834,988,1205,1404,1608,1787,1968,2108,2214,2340,2410,2478,2635,2695,2768,2884,2970,3072,3192,3389,3598,3737,3949,4215,4602,5022,5427,5980,6636,7318,7834,8328,8929,9648,10576,11372,12203,13338,14373,15687,16707,17302,18345,19278,20591,21945,23299,25793,29304,32898,35125,36915,39871,43893,49608,55974,61374,66615,72791,79821,85576,91021,97914,103655,109585,116660,119972,123374,126911,130794,1411151
0,0,2036,3575725,20117,1346,809,682,577,486,422,382,337,330,334,348,414,511,650,836,974,1190,1388,1590,1764,1937,2047,2153,2260,2352,2379,2529,2623,2704,2817,2886,3016,3096,3265,3492,3676,3872,4112,4450,4810,5234,5751,6400,7144,7843,8462,8965,9574,10349,11311,12090,13011,14191,15337,16719,17733,18329,19322,20255,21590,23112,24663,27464,31341,35276,37727,39696,42848,47129,53283,60105,65871,71511,78050,85587,91733,97580,104878,110808,118301,123483,126805,129984,132970,1469947
0,0,2037,3631096,19986,1338,807,680,561,472,411,379,336,330,335,347,417,493,628,807,970,1165,1353,1540,1715,1898,2007,2096,2217,2290,2320,2423,2509,2655,2751,2828,2946,3030,3156,3367,3592,3797,4003,4338,4643,5027,5560,6176,6895,7693,8486,9118,9618,10285,11071,12046,12917,13859,15149,16362,17787,18785,19326,20314,21255,22764,24473,26294,29426,33651,37943,40601,42682,46058,50658,57267,64579,70747,76727,83740,91808,98422,104605,112187,119783,125287,130578,133656,136262,1529233
0,0,2038,3685042,19863,1323,800,672,551,471,409,383,323,320,337,351,382,492,611,793,934,1147,1336,1520,1697,1865,1978,2042,2155,2216,2258,2366,2428,2544,2675,2776,2862,2983,3084,3247,3442,3707,3966,4242,4544,4871,5339,5983,6658,7426,8295,9164,9775,10331,10985,11798,12881,13762,14791,16172,17415,18856,19804,20316,21327,22412,24107,26104,28174,31613,36212,40862,43688,45908,49539,54514,61574,69408,75974,82376,89899,98577,105563,111981,121424,126920,132551,137692,140171,1589755
0,0,2039,3737049,19707,1305,787,670,545,462,405,369,317,320,330,352,381,493,610,780,912,1131,1302,1494,1654,1829,1942,2026,2110,2164,2190,2306,2362,2444,2574,2714,2811,2900,3022,3178,3325,3571,3873,4172,4445,4765,5166,5748,6426,7160,8018,8968,9840,10499,11060,11716,12625,13706,14690,15822,17229,18465,19897,20843,21332,22492,23764,25747,28002,30312,34043,39038,43984,47036,49416,53346,58626,66227,74557,81612,88489,96605,105819,113087,121342,128737,134346,139839,144472,1651852
0,0,2040,3786649,19599,1281,790,671,533,465,404,366,318,320,333,330,375,479,590,779,912,1093,1280,1460,1627,1794,1888,1968,2059,2109,2132,2232,2289,2385,2474,2610,2751,2847,2956,3116,3269,3460,3717,4097,4381,4648,5064,5569,6181,6937,7750,8659,9620,10532,11239,11783,12528,13454,14683,15713,16869,18285,19486,20933,21887,22509,23882,25390,27635,30166,32649,36736,42064,47374,50679,53260,57430,63115,71180,80141,87719,95146,103773,113434,122685,128712,136328,141792,146793,1715698
0,0,2041,3832743,19481,1278,789,659,534,454,399,367,316,319,331,321,376,480,587,742,884,1071,1255,1441,1589,1754,1865,1938,2016,2078,2083,2175,2229,2309,2428,2506,2634,2781,2904,3054,3209,3386,3588,3924,4274,4578,4938,5425,6001,6680,7485,8383,9285,10324,11288,11972,12586,13342,14399,15688,16776,17880,19296,20507,21989,23104,23876,25521,27282,29770,32519,35246,39614,45337,51074,54625,57370,61852,67867,76537,86165,94358,102270,111328,123200,130196,136359,143943,148900,1778800
