NATIVITY,RACE_HISP,SEX,YEAR,total_pop,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85
1,0,0,2014,276398149,3949169,3913361,3915098,3931729,3926349,3920623,4034966,4047898,4006778,3980651,3977328,3921142,3890727,3966501,4004344,3914498,3896369,3885487,3888643,3956274,4011183,4055186,4117091,4168850,4113604,3886041,3720150,3630983,3614852,3600766,3454177,3473774,3483946,3428435,3453745,3223090,3111119,3077006,2954390,3038118,2934600,2977510,3180115,3424647,3463039,3283923,3183653,3260646,3340961,3566714,3672478,3686640,3743591,3818338,3835204,3736180,3734817,3709387,3578172,3550618,3426305,3299629,3198472,3088181,3002839,2931372,2910646,3060128,2195528,2189933,2145193,2214048,1905954,1721344,1618716,1520508,1457771,1337521,1269767,1221373,1092886,1056312,1014956,953544,903815,5435734
1,0,0,2015,278094071,3977903,3944797,3911447,3913641,3930430,3925316,3919775,4034178,4047220,4006168,3980061,3976754,3920571,3890085,3965694,4003403,3913376,3895024,3883751,3886382,3953356,4007873,4051197,4112779,4164546,4109172,3881915,3716130,3627104,3610956,3596789,3450332,3469831,3479893,3424370,3449431,3218893,3106834,3072511,2949781,3033025,2929412,2971858,3173605,3417036,3454568,3275177,3174285,3250143,3329193,3552991,3657115,3669889,3725193,3798051,3813185,3713082,3710078,3683009,3550900,3521679,3396491,3268841,3166357,3054854,2967788,2894321,2870820,3014773,2160060,2151404,2104096,2167811,1862419,1678247,1574225,1474592,1409251,1288524,1218360,1166744,1038732,998295,953082,888718,5542123
1,0,0,2016,279794057,4006182,3973508,3942851,3909958,3912320,3929373,3924444,3918971,4033473,4046575,4005546,3979463,3976160,3919905,3889265,3964734,4002226,3912000,3893260,3881462,3883497,3950097,4003923,4046947,4108525,4160076,4104850,3877747,3712174,3623202,3606980,3592809,3446441,3465839,3475826,3420155,3445030,3214534,3102363,3067805,2944907,3027760,2923976,2965869,3166664,3408850,3445544,3265765,3164233,3238945,3316598,3538404,3640827,3652218,3705763,3776704,3790056,3688868,3684191,3655472,3522426,3491522,3365335,3236600,3132741,3019777,2930823,2855225,2828736,2966825,2122537,2110654,2060644,2118903,1816322,1632621,1527137,1426003,1358018,1236855,1164215,1109392,982074,937713,888758,5620091
1,0,0,2017,281498001,4033809,4001757,3971528,3941332,3908611,3911241,3928469,3923609,3918246,4032802,4045915,4004914,3978836,3975454,3919050,3888296,3963543,4000787,3910206,3890945,3878561,3880286,3946201,3999703,4042736,4104097,4155719,4100491,3873646,3708203,3619230,3603018,3588802,3442512,3461829,3471601,3415856,3440448,3209984,3097685,3062831,2939871,3022240,2918206,2959478,3159189,3400125,3435823,3255654,3153522,3226962,3303201,3522917,3623640,3633563,3685311,3754258,3765804,3663532,3657165,3626712,3492739,3459999,3332687,3202835,3097345,2982754,2891776,2813871,2784211,2916071,2082820,2067531,2014651,2067076,1767482,1584307,1477282,1374656,1303948,1182379,1107334,1049356,922895,874723,5687311
1,0,0,2018,283203912,4059714,4029360,3999750,3969976,3939950,3907508,3910319,3927606,3922854,3917551,4032112,4045244,4004250,3978091,3974555,3918040,3887092,3962093,3998928,3907863,3888019,3875328,3876430,3942032,3995525,4038362,4099785,4151317,4096198,3869528,3704166,3615273,3599023,3584758,3438570,3457670,3467300,3411396,3435683,3205224,3092741,3057694,2934595,3016389,2912052,2952595,3151229,3390725,3425392,3244886,3142055,3214220,3288992,3506574,3605474,3613916,3663798,3730708,3740399,3637056,3628917,3596704,3461687,3426934,3298454,3167232,3059936,2943603,2850440,2770092,2737053,2862288,2040757,2021857,1965879,2012124,1715725,1533116,1424568,1320431,1246894,1125089,1047760,986600,861334,5732505
1,0,0,2019,284909648,4083710,4055243,4027333,3998184,3968572,3938813,3906561,3909430,3926814,3922125,3916845,4031417,4044546,4003474,3977156,3973497,3916801,3885648,3960227,3996521,3904913,3884766,3871469,3872317,3937912,3991188,4034117,4095443,4146984,4091904,3865353,3700145,3611295,3594998,3580704,3434484,3453446,3462841,3406749,3430701,3200193,3087636,3052316,2929008,3010153,2905431,2945271,3142654,3380637,3414283,3233369,3129856,3200679,3273981,3489293,3586324,3593230,3641209,3706027,3713850,3609386,3599440,3565313,3429106,3392253,3262338,3129579,3020353,2902127,2806658,2723702,2687066,2805292,1996185,1973409,1914143,1953843,1660837,1478933,1368861,1263150,1186848,1065048,985471,921273,5758988
1,0,0,2020,286611016,4104681,4079218,4053182,4025732,3996750,3967405,3937834,3905646,3908620,3926063,3921396,3916130,4030681,4043732,4002509,3976070,3972213,3915317,3883790,3957816,3993497,3901628,3880874,3867339,3868252,3933627,3986980,4029843,4091181,4142659,4087550,3861206,3696116,3607294,3590972,3576516,3430338,3449065,3458198,3401888,3425438,3195009,3082295,3046615,2923047,3003437,2898383,2937375,3133448,3369894,3402398,3221110,3116905,3186384,3258094,3471057,3566151,3571496,3617525,3680222,3686098,3580509,3568580,3532352,3394909,3355628,3224112,3089703,2978387,2858161,2760232,2674495,2634049,2744822,1948862,1921981,1859238,1891993,1602696,1421625,1309949,1202800,1123893,1002231,920607,5837013
1,0,0,2021,288302628,4121545,4100150,4077092,4051505,4024227,3995508,3966337,3936834,3904756,3907776,3925401,3920770,3915505,4029982,4042907,4001609,3975021,3970982,3913760,3881774,3955208,3990582,3898108,3877129,3863654,3864388,3929803,3983036,4025888,4087116,4138450,4083351,3857104,3692085,3603288,3586776,3572200,3425961,3444408,3453245,3396640,3419869,3189432,3076480,3040374,2916451,2996105,2890592,2928702,3123444,3358191,3389532,3207870,3103006,3171018,3241071,3451556,3544640,3548393,3592454,3652936,3656820,3549980,3535902,3497484,3358573,3316654,3183453,3047273,2933875,2811561,2711026,2622342,2577846,2680644,1898656,1867420,1800982,1826462,1541191,1361005,1247874,1139520,1058034,936811,5907263
1,0,0,2022,289982225,4134604,4117035,4098034,4075417,4049996,4022980,3994437,3965333,3935942,3903915,3907118,3924760,3920157,3914836,4029161,4042006,4000571,3973820,3969422,3911746,3879227,3952355,3987091,3894392,3873494,3859852,3860688,3925986,3979201,4021967,4083027,4134299,4079169,3853013,3688079,3599163,3582541,3567760,3421435,3439572,3448038,3391256,3414077,3183561,3070315,3033689,2909466,2988236,2882264,2919520,3112780,3345774,3375900,3193908,3088310,3154815,3223135,3431063,3522110,3524263,3566264,3624487,3626192,3517950,3501606,3460672,3320106,3275386,3140342,3002384,2886669,2762085,2658788,2566975,2518120,2612436,1845312,1809451,1739185,1757046,1476039,1297037,1182726,1073258,989387,5986241
1,0,0,2023,291645382,4145050,4130110,4114921,4096364,4073913,4048758,4021914,3993430,3964441,3935101,3903255,3906477,3924138,3919499,3914049,4028267,4040955,3999373,3972303,3967416,3909197,3876416,3948922,3983403,3890789,3869740,3856214,3857000,3922287,3975405,4018022,4078993,4130150,4074979,3848950,3683964,3594997,3578178,3563158,3416735,3434496,3442692,3385645,3407961,3177326,3063702,3026597,2901970,2979825,2873440,2909722,3101461,3332606,3361508,3179146,3072812,3137736,3204286,3409586,3498569,3499057,3538949,3594710,3594031,3484307,3465364,3421674,3279343,3231601,3094698,2954735,2836503,2709514,2603290,2508102,2454606,2539893,1788601,1747918,1673686,1683430,1407213,1229862,1114471,1004157,6107348
